p3,sig10,sig6,sig1
1e-4,7e-4,0.0017,0.011098326166
1e-4,0.001,0.0028,0.009149340734
1e-4,3e-4,5e-4,0.001490070468
1e-4,0.0092,0.0019,0.006233885236
1e-4,0.0031,0.0101,0.006595870109
1e-4,9e-4,0.0241,0.007342367815
1e-4,7e-4,0.0091,8.9284037e-4
0.0101,0.016,0.0571,0.007186581642
1e-4,0.0014,0.0024,0.008232603989
1e-4,0.0022,0.0058,0.00575802141
1e-4,2e-4,0.0021,6.16335232e-4
0.0101,0.0088,0.0087,0.004459080311
1e-4,0.0374,0.0017,0.012250063666
1e-4,0.0103,0.0029,0.011162229329
1e-4,0.0031,0.0011,0.002275495686
0.040100000000000004,0.3083,0.0058,0.015259102491
1e-4,5e-4,0.0013,0.001801068369
1e-4,3e-4,0.0012,0.00258090852
1e-4,0,0,5.92548022e-4
1e-4,2e-4,0.0018,0.002963986287
1e-4,0,0,0.001284983446
1e-4,0,0,7.02134818e-4
1e-4,0,0,5.06289594e-4
1e-4,0,2e-4,0.001381542722
1e-4,0,0,6.02122711e-4
1e-4,2e-4,0.003,0.002393352209
1e-4,0,0,2.48534e-7
1e-4,4e-4,0.0017,8.90080731e-4
1e-4,0,0,0.001874853199
1e-4,0,2e-4,0.002067418791
1e-4,0,0,3.04897004e-4
1e-4,1e-4,1e-4,0.00315157446
1e-4,0,0.0312,0.029514532745
0.0101,0.0032,0.0163,0.014322747041
0.0601,0.0126,0.0908,0.171646931305
0.0101,0.0047,0.0149,0.012623763151
0.0101,0.0012,0.0085,0.020896446965
0.0101,0.0024,0.0099,0.01850170477
0.0601,0.0109,0.0901,0.095577217268
0.0101,0.0043,0.0087,0.017113307642
0.0101,0,0.0653,0.024943814154
0.050100000000000006,0.0134,0.0773,0.027161494035
0.1701,0.027,0.1339,0.103570762296
0.0301,0.0152,0.0524,0.017689854381
1e-4,0.0037,0.0074,0.014492099634
0.0201,0.0211,0.0067,0.017680775357
0.15009999999999998,0.2141,0.0391,0.076002221712
0.0201,0.0392,0.0047,0.013761704021
1e-4,0,6e-4,0.004021520333
1e-4,2e-4,0.0033,0.002371144163
1e-4,0,0,0.002810909959
1e-4,0.0012,0.0053,0.008360909345
1e-4,0,1e-4,0.001182587416
1e-4,1e-4,0.0026,0.001903166857
1e-4,3e-4,8e-4,0.00148796063
1e-4,9e-4,0.0011,0.002179344412
1e-4,0,0,6.89289439e-4
1e-4,1e-4,0.0028,5.52409528e-4
1e-4,0,6e-4,0.001200228847
1e-4,4e-4,0.0021,0.002107136837
1e-4,0,2e-4,0.005600155423
1e-4,8e-4,8e-4,0.00199907926
1e-4,0,0,0.001090065693
1e-4,0.0028,7e-4,0.003981022761
0.0101,0.0031,0.0075,0.01391577303
0.0101,0.0052,0.0056,0.0062749606
0.0101,0.0026,0.0217,0.010137636154
1e-4,0.004,0.0023,0.009256316389
1e-4,5e-4,0.0062,0.004176674882
0.0101,0.0019,0.004,0.005252593331
0.0101,0.0015,0.027,0.00701322531
1e-4,0.002,0.0033,0.006713813119
0.0201,0.0064,0.0122,0.011247835116
0.0301,0.0101,0.0059,0.006999724257
0.0201,0.0054,0.0115,0.004977592617
0.0101,0.0124,0.0042,0.010667406133
1e-4,0.003,0.0059,0.008073616351
0.0101,0.0097,0.0035,0.004857381178
0.0101,0.0065,0.0106,0.008325454207
0.0101,0.0099,0.0029,0.006257105605
1e-4,0,0,0.001587636423
1e-4,0.004,0.0017,0.001784091288
1e-4,0.0015,7e-4,0.001385830552
0.0101,0.0137,0.0029,0.003158539312
1e-4,0.0022,1e-4,3.02691186e-4
1e-4,0.0018,0.004,0.00209850244
1e-4,0.0037,0.005,0.0015995485
0.0101,0.0182,0.0086,0.002758537619
1e-4,0,0,9.9045003e-5
0.0101,0.002,0.0016,2.02365646e-4
1e-4,9e-4,0.001,0.001188353185
0.0101,0.003,0.0035,8.00723342e-4
1e-4,0.005,9e-4,0.001397553749
0.0101,0.0092,0.0019,0.001291736985
1e-4,0.0022,0.0011,0.00203107688
0.0601,0.0633,0.0072,0.00403012816
