"sample_list","sig_list","expected_list","fitsig_list","actual_list","diff","diff2"
"TCGA-5M-AAT4-01A-11D-A40P-10","SBS40",0.670885916270314,0.577053905896607,0.4765625,0.194323416270314,0.100491405896607
"TCGA-A6-5662-01A-01D-1650-10","SBS40",0.601862066586329,0.550915814349798,0.447916666666667,0.153945399919662,0.102999147683131
"TCGA-A6-6782-01A-11D-1835-10","SBS40",0.734186806587916,0.706443963264552,0.625,0.109186806587916,0.0814439632645521
"TCGA-AA-3850-01A-01W-0995-10","SBS40",0.47203561240064,0.439948925985368,0.315151515151515,0.156884097249125,0.124797410833853
"TCGA-AA-A02E-01A-01W-A00E-09","SBS40",0.743697070358613,0.718299755341917,0.553398058252427,0.190299012106186,0.16490169708949
"TCGA-AZ-6600-01A-11D-1771-10","SBS40",0.769233246327601,0.577040505441951,0.455056179775281,0.31417706655232,0.12198432566667
"TCGA-CK-4950-01A-01D-1719-10","SBS40",0.8392860326777,0.676386869953523,0.506493506493506,0.332792526184194,0.169893363460017
"TCGA-CM-5862-01A-01D-1650-10","SBS1",0.540304340377226,0.530079733672667,0.5,0.040304340377226,0.030079733672667
"TCGA-CM-5862-01A-01D-1650-10","SBS40",0.723757652699094,0.518340543482615,0.41304347826087,0.310714174438224,0.105297065221745
"TCGA-NH-A6GB-01A-11D-A36X-10","SBS40",0.601017309883402,0.534764788154372,0.495762711864407,0.105254598018995,0.039002076289965
"TCGA-NH-A8F7-06A-31D-A40P-10","SBS40",0.524592638944028,0.475418129714942,0.388157894736842,0.136434744207186,0.0872602349781
"CRC-23T","SBS1",0.225556142407758,0.211568169501673,0.172413793103448,0.05314234930431,0.039154376398225
"CRC-23T","SBS5",0.822708523174915,0.801780978679007,0.737068965517241,0.0856395576576741,0.064712013161766
